"Id";"Oznaczenie";"Footprint";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
3;"C15";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"6.8nF";;;
4;"R6";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"604kΩ";;;
6;"R4,R3,R2,R5,R1,R26,R27,R25,R24";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";9;"10k";;;
7;"C10,C11";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"1u";;;
8;"C6,C13";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"10u";;;

11;"R31,R36,R33,R29,R34,R30,R35,R32,R39,R38,R40";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";11;"R";;;

12;"R11";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"120";;;
13;"C5,C3,C22,C1,C12,C2,C4";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";7;"100n";;;
14;"C20,C23,C21,C18,C19";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"22uF";;;

16;"C32,C33";"C_0402_1005Metric";2;"12p";;;
17;"R10";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"40.2Ω";;;


20;"R28";"R_0402_1005Metric";1;"47";;;

22;"R7";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"20Ω";;;

24;"C9";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"10n";;;

25;"J2";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Socket";;;
27;"J3,J4";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";2;"Conn_01x02_Pin";;;


29;"C14";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"1nF";;;
30;"R45";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"0";;;

32;"R8";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"10kΩ";;;

33;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;

35;"R46";"R_0603_1608Metric";1;"1k15";;;
36;"C17";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"10pF";;;

38;"C16";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"1uF";;;
39;"C7,C8";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";2;"2.2u";;;
40;"R9";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"7.68kΩ";;;
42;"R16,R12,R17,R23,R13,R20,R21,R22,R18,R19,R14,R15";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";12;"R";;;


44;"R41,R43,R42,R44";"R_2512_6332Metric_Pad1.40x3.35mm_HandSolder";4;"R";;;


46;"J1";"JST_EH_S5B-EH_1x05_P2.50mm_Horizontal";1;"Conn_01x05";;;

47;"C24,C25,C30,C27,C28,C31,C29,C26";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";8;"100nF";;


49;"R37";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"TC";;;
50;"U3";"WCS1500";1;"~";;;
